n,k,buckets,nLess_k,nLess_kHalf,nLess_kOdd,expGrowth,kOdd,x,offset,A005316
4,3,4,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
5,4,6,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
6,5,7,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
7,6,9,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
8,7,10,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
9,8,12,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
10,9,13,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
11,10,15,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
12,11,16,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
13,12,18,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
14,13,19,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
15,14,21,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
16,15,22,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
17,16,24,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
18,17,25,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
19,18,27,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
20,19,28,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
21,20,30,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
22,21,31,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
23,22,33,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
24,23,34,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
25,24,36,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
26,25,37,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
27,26,39,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
28,27,40,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
29,28,42,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
30,29,43,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
31,30,45,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
32,31,46,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
33,32,48,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
34,33,49,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
35,34,51,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
36,35,52,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
37,36,54,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
38,37,55,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
39,38,57,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
40,39,58,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
41,40,60,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
42,41,61,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
43,42,63,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
44,43,64,1,1,TRUE,TRUE,TRUE,1.57,1.556,7.47914459
45,44,66,1,1,TRUE,TRUE,FALSE,1.57,0.834,4.008744594
6,4,18,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
7,5,22,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
8,6,29,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
9,7,33,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
10,8,40,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
11,9,44,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
12,10,51,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
13,11,55,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
14,12,62,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
15,13,66,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
16,14,73,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
17,15,77,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
18,16,84,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
19,17,88,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
20,18,95,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
21,19,99,2,1,FALSE,TRUE,TRUE,1.57,1.8047,8.674557995
22,20,106,2,1,FALSE,TRUE,FALSE,1.57,1.5803,7.595946141
