0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,55,53,52,60,61,63,62,58,59,57,56,40,41,43,42,46,47,45,44,36,37,39,38,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,39,38,34,35,33,49,51,50,54,55,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,39,38,34,35,51,50,54,55,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,39,38,34,50,54,55,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,39,38,54,55,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,39,55,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,38,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,37,53,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,55,39,38,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,36,52,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,55,53,37,39,38,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,44,60,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,55,53,52,36,37,39,38,34,35,33,32
0,1,3,2,6,7,5,4,12,13,15,14,10,11,9,8,40,41,43,42,46,47,45,61,63,62,58,59,57,56,24,25,27,26,30,31,29,28,20,21,23,22,18,19,17,16,48,49,51,50,54,55,53,52,60,44,36,37,39,38,34,35,33,32
