oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances
A000682	3	6	1	12	15	8	15	3	
A000682	4	10	1	14	3	17	63	4	
A000682	5	15	2	16	15	33	15	6	
A000682	6	24	2	18	3	58	63	8	
A000682	7	38	2	20	15	105	15	9	
A000682	8	58	2	22	3	171	63	12	
A000682	9	91	3	24	15	292	15	12	
A000682	10	141	3	26	3	461	63	16	
A000682	11	223	3	28	15	767	255	16	
A000682	12	340	3	30	3	1192	63	20	
A000682	13	544	3	32	15	1949	255	20	
A000682	14	837	3	34	3	3020	63	24	
A000682	15	1335	3	36	15	4890	255	24	
A000682	16	2059	3	38	3	7570	63	28	
A000682	17	3296	3	40	15	12204	255	28	
A000682	18	5108	3	42	3	18919	63	32	
A000682	19	8173	3	44	15	30449	255	32	
A000682	20	12691	3	46	3	47287	63	36	
A000682	21	20404	3	48	15	76069	255	36	
A000682	22	31768	3	50	3	118466	252	41	
A000682	23	51013	3	52	15	190498	1020	41	
A000682	24	79788	3	54	3	297405	252	46	
A000682	25	128296	3	56	15	478582	1020	46	
A000682	26	200934	3	58	3	748728	252	51	
A000682	27	323581	3	60	15	1205693	1020	51	
A000682	28	507928	3	62	3	1890551	4044	57	
