oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances	bridges
A005316	3	3	1	6	22	3	63	1	1
A005316	3	1	2	4	15	2	15	2	0
A005316	4	2	1	7	15	2	91	1	2
A005316	4	4	1	6	22	4	63	1	1
A005316	4	1	3	4	15	3	15	3	0
A005316	5	3	1	6	22	3	63	1	3
A005316	5	6	1	8	15	7	15	2	2
A005316	5	4	2	6	22	9	63	3	1
A005316	5	1	3	4	15	3	15	3	0
A005316	6	2	1	7	15	2	91	1	4
A005316	6	6	1	9	22	6	63	1	3
A005316	6	8	1	8	15	13	91	3	2
A005316	6	4	2	6	22	10	63	3	1
A005316	6	1	3	4	15	3	15	3	0
A005316	7	3	1	6	22	3	63	1	5
A005316	7	6	1	8	15	7	15	2	4
A005316	7	15	1	10	22	20	63	3	3
A005316	7	10	2	8	15	23	91	3	2
A005316	7	4	3	6	22	12	63	4	1
A005316	7	1	3	4	15	3	15	3	0
A005316	8	2	1	7	15	2	91	1	6
A005316	8	6	1	9	22	6	63	1	5
A005316	8	11	1	11	15	16	91	3	4
A005316	8	21	1	10	22	31	63	3	3
A005316	8	10	3	8	15	30	91	4	2
A005316	8	4	3	6	22	12	63	4	1
A005316	8	1	3	4	15	3	15	3	0
A005316	9	3	1	6	22	3	63	1	7
A005316	9	6	1	8	15	7	15	2	6
A005316	9	15	1	10	22	20	63	3	5
A005316	9	29	1	12	15	42	91	3	4
A005316	9	28	2	10	22	61	63	4	3
A005316	9	10	3	8	15	36	91	4	2
A005316	9	4	3	6	22	12	63	4	1
A005316	9	1	3	4	15	3	15	3	0
A005316	10	2	1	7	15	2	91	1	8
A005316	10	6	1	9	22	6	63	1	7
A005316	10	11	1	11	15	16	91	3	6
A005316	10	27	1	13	22	37	63	3	5
A005316	10	42	1	12	15	71	91	4	4
A005316	10	30	2	10	22	77	63	4	3
A005316	10	10	3	8	15	38	91	4	2
A005316	10	4	3	6	22	12	63	4	1
A005316	10	1	3	4	15	3	15	3	0
A005316	11	3	1	6	22	3	63	1	9
A005316	11	6	1	8	15	7	15	2	8
A005316	11	15	1	10	22	20	63	3	7
A005316	11	29	1	12	15	42	91	3	6
A005316	11	67	1	14	22	100	63	4	5
A005316	11	65	2	12	15	138	91	4	4
A005316	11	32	3	10	22	104	668	5	3
A005316	11	10	4	8	15	40	252	5	2
A005316	11	4	3	6	22	12	63	4	1
A005316	11	1	3	4	15	3	15	3	0
A005316	12	2	1	7	15	2	91	1	10
A005316	12	6	1	9	22	6	63	1	9
A005316	12	11	1	11	15	16	91	3	8
A005316	12	27	1	13	22	37	63	3	7
A005316	12	52	1	15	15	81	91	4	6
A005316	12	99	1	14	22	160	63	4	5
A005316	12	75	2	12	15	188	2701	5	4
A005316	12	32	3	10	22	112	668	5	3
A005316	12	10	4	8	15	40	252	5	2
A005316	12	4	3	6	22	12	63	4	1
A005316	12	1	3	4	15	3	15	3	0
A005316	13	3	1	6	22	3	63	1	11
A005316	13	6	1	8	15	7	15	2	10
A005316	13	15	1	10	22	20	63	3	9
A005316	13	29	1	12	15	42	91	3	8
A005316	13	67	1	14	22	100	63	4	7
A005316	13	134	1	16	15	207	91	4	6
A005316	13	160	2	14	22	329	668	5	5
A005316	13	90	3	12	15	271	252	5	4
A005316	13	32	3	10	22	125	972	6	3
A005316	13	10	4	8	15	40	252	5	2
A005316	13	4	3	6	22	12	63	4	1
A005316	13	1	3	4	15	3	15	3	0
A005316	14	2	1	7	15	2	91	1	12
A005316	14	6	1	9	22	6	63	1	11
A005316	14	11	1	11	15	16	91	3	10
A005316	14	27	1	13	22	37	63	3	9
A005316	14	52	1	15	15	81	91	4	8
A005316	14	119	1	17	22	180	63	4	7
A005316	14	204	1	16	15	347	2701	5	6
A005316	14	196	2	14	22	451	668	5	5
A005316	14	90	3	12	15	306	252	5	4
A005316	14	32	3	10	22	125	972	6	3
A005316	14	10	4	8	15	40	252	5	2
A005316	14	4	3	6	22	12	63	4	1
A005316	14	1	3	4	15	3	15	3	0
A005316	15	3	1	6	22	3	63	1	13
A005316	15	6	1	8	15	7	15	2	12
A005316	15	15	1	10	22	20	63	3	11
A005316	15	29	1	12	15	42	91	3	10
A005316	15	67	1	14	22	100	63	4	9
A005316	15	134	1	16	15	207	91	4	8
A005316	15	299	1	18	22	468	668	5	7
A005316	15	363	1	16	15	723	252	5	6
A005316	15	261	2	14	22	708	972	6	5
A005316	15	90	4	12	15	367	2780	6	4
A005316	15	32	3	10	22	125	972	6	3
A005316	15	10	4	8	15	40	252	5	2
A005316	15	4	3	6	22	12	63	4	1
A005316	15	1	3	4	15	3	15	3	0
A005316	16	2	1	7	15	2	91	1	14
A005316	16	6	1	9	22	6	63	1	13
A005316	16	11	1	11	15	16	91	3	12
A005316	16	27	1	13	22	37	63	3	11
A005316	16	52	1	15	15	81	91	4	10
A005316	16	119	1	17	22	180	63	4	9
A005316	16	239	1	19	15	382	2701	5	8
A005316	16	461	1	18	22	766	668	5	7
A005316	16	472	2	16	15	1042	43149	6	6
A005316	16	271	3	14	22	834	972	6	5
A005316	16	90	4	12	15	377	2780	6	4
A005316	16	32	3	10	22	125	972	6	3
A005316	16	10	4	8	15	40	252	5	2
A005316	16	4	3	6	22	12	63	4	1
A005316	16	1	3	4	15	3	15	3	0
A005316	17	3	1	6	22	3	63	1	15
A005316	17	6	1	8	15	7	15	2	14
A005316	17	15	1	10	22	20	63	3	13
A005316	17	29	1	12	15	42	91	3	12
A005316	17	67	1	14	22	100	63	4	11
A005316	17	134	1	16	15	207	91	4	10
A005316	17	299	1	18	22	468	668	5	9
A005316	17	614	1	20	15	974	252	5	8
A005316	17	845	1	18	22	1653	972	6	7
A005316	17	699	2	16	15	1739	2780	6	6
A005316	17	286	3	14	22	1083	10700	7	5
A005316	17	90	4	12	15	392	4044	7	4
A005316	17	32	3	10	22	125	972	6	3
A005316	17	10	4	8	15	40	252	5	2
A005316	17	4	3	6	22	12	63	4	1
A005316	17	1	3	4	15	3	15	3	0
A005316	18	2	1	7	15	2	91	1	16
A005316	18	6	1	9	22	6	63	1	15
A005316	18	11	1	11	15	16	91	3	14
A005316	18	27	1	13	22	37	63	3	13
A005316	18	52	1	15	15	81	91	4	12
A005316	18	119	1	17	22	180	63	4	11
A005316	18	239	1	19	15	382	2701	5	10
A005316	18	531	1	21	22	836	668	5	9
A005316	18	968	1	20	15	1643	43149	6	8
A005316	18	1144	2	18	22	2409	972	6	7
A005316	18	769	2	16	15	2148	2780	6	6
A005316	18	286	3	14	22	1143	10700	7	5
A005316	18	90	4	12	15	392	4044	7	4
A005316	18	32	3	10	22	125	972	6	3
A005316	18	10	4	8	15	40	252	5	2
A005316	18	4	3	6	22	12	63	4	1
A005316	18	1	3	4	15	3	15	3	0
A005316	19	3	1	6	22	3	63	1	17
A005316	19	6	1	8	15	7	15	2	16
A005316	19	15	1	10	22	20	63	3	15
A005316	19	29	1	12	15	42	91	3	14
A005316	19	67	1	14	22	100	63	4	13
A005316	19	134	1	16	15	207	91	4	12
A005316	19	299	1	18	22	468	668	5	11
A005316	19	614	1	20	15	974	252	5	10
A005316	19	1348	1	22	22	2156	972	6	9
A005316	19	1890	1	20	15	3599	2780	6	8
A005316	19	1830	2	18	22	4267	10700	7	7
A005316	19	895	3	16	15	3023	4044	7	6
A005316	19	286	4	14	22	1254	15564	8	5
A005316	19	90	4	12	15	392	4044	7	4
A005316	19	32	3	10	22	125	972	6	3
A005316	19	10	4	8	15	40	252	5	2
A005316	19	4	3	6	22	12	63	4	1
A005316	19	1	3	4	15	3	15	3	0
