oeis	n	ExistingCurveLocationsDistinct	LessThanMaximumTotal	bridges
A005316	5	1	3	3
A005316	5	3	7	2
A005316	5	6	9	1
A005316	5	4	3	0
A005316	6	1	2	4
A005316	6	2	6	3
A005316	6	6	13	2
A005316	6	8	10	1
A005316	6	4	3	0
A005316	7	1	3	5
A005316	7	3	7	4
A005316	7	6	20	3
A005316	7	15	23	2
A005316	7	10	12	1
A005316	7	4	3	0
A005316	8	1	2	6
A005316	8	2	6	5
A005316	8	6	16	4
A005316	8	11	31	3
A005316	8	21	30	2
A005316	8	10	12	1
A005316	8	4	3	0
A005316	9	1	3	7
A005316	9	3	7	6
A005316	9	6	20	5
A005316	9	15	42	4
A005316	9	29	61	3
A005316	9	28	36	2
A005316	9	10	12	1
A005316	9	4	3	0
A005316	10	1	2	8
A005316	10	2	6	7
A005316	10	6	16	6
A005316	10	11	37	5
A005316	10	27	71	4
A005316	10	42	77	3
A005316	10	30	38	2
A005316	10	10	12	1
A005316	10	4	3	0
A005316	11	1	3	9
A005316	11	3	7	8
A005316	11	6	20	7
A005316	11	15	42	6
A005316	11	29	100	5
A005316	11	67	138	4
A005316	11	65	104	3
A005316	11	32	40	2
A005316	11	10	12	1
A005316	11	4	3	0
A005316	12	1	2	10
A005316	12	2	6	9
A005316	12	6	16	8
A005316	12	11	37	7
A005316	12	27	81	6
A005316	12	52	160	5
A005316	12	99	188	4
A005316	12	75	112	3
A005316	12	32	40	2
A005316	12	10	12	1
A005316	12	4	3	0
A005316	13	1	3	11
A005316	13	3	7	10
A005316	13	6	20	9
A005316	13	15	42	8
A005316	13	29	100	7
A005316	13	67	207	6
A005316	13	134	329	5
A005316	13	160	271	4
A005316	13	90	125	3
A005316	13	32	40	2
A005316	13	10	12	1
A005316	13	4	3	0
A005316	14	1	2	12
A005316	14	2	6	11
A005316	14	6	16	10
A005316	14	11	37	9
A005316	14	27	81	8
A005316	14	52	180	7
A005316	14	119	347	6
A005316	14	204	451	5
A005316	14	196	306	4
A005316	14	90	125	3
A005316	14	32	40	2
A005316	14	10	12	1
A005316	14	4	3	0
A005316	15	1	3	13
A005316	15	3	7	12
A005316	15	6	20	11
A005316	15	15	42	10
A005316	15	29	100	9
A005316	15	67	207	8
A005316	15	134	468	7
A005316	15	299	723	6
A005316	15	363	708	5
A005316	15	261	367	4
A005316	15	90	125	3
A005316	15	32	40	2
A005316	15	10	12	1
A005316	15	4	3	0
A005316	16	1	2	14
A005316	16	2	6	13
A005316	16	6	16	12
A005316	16	11	37	11
A005316	16	27	81	10
A005316	16	52	180	9
A005316	16	119	382	8
A005316	16	239	766	7
A005316	16	461	1042	6
A005316	16	472	834	5
A005316	16	271	377	4
A005316	16	90	125	3
A005316	16	32	40	2
A005316	16	10	12	1
A005316	16	4	3	0
A005316	17	1	3	15
A005316	17	3	7	14
A005316	17	6	20	13
A005316	17	15	42	12
A005316	17	29	100	11
A005316	17	67	207	10
A005316	17	134	468	9
A005316	17	299	974	8
A005316	17	614	1653	7
A005316	17	845	1739	6
A005316	17	699	1083	5
A005316	17	286	392	4
A005316	17	90	125	3
A005316	17	32	40	2
A005316	17	10	12	1
A005316	17	4	3	0
A005316	18	1	2	16
A005316	18	2	6	15
A005316	18	6	16	14
A005316	18	11	37	13
A005316	18	27	81	12
A005316	18	52	180	11
A005316	18	119	382	10
A005316	18	239	836	9
A005316	18	531	1643	8
A005316	18	968	2409	7
A005316	18	1144	2148	6
A005316	18	769	1143	5
A005316	18	286	392	4
A005316	18	90	125	3
A005316	18	32	40	2
A005316	18	10	12	1
A005316	18	4	3	0
A005316	19	1	3	17
A005316	19	3	7	16
A005316	19	6	20	15
A005316	19	15	42	14
A005316	19	29	100	13
A005316	19	67	207	12
A005316	19	134	468	11
A005316	19	299	974	10
A005316	19	614	2156	9
A005316	19	1348	3599	8
A005316	19	1890	4267	7
A005316	19	1830	3023	6
A005316	19	895	1254	5
A005316	19	286	392	4
A005316	19	90	125	3
A005316	19	32	40	2
A005316	19	10	12	1
A005316	19	4	3	0
A005316	20	1	2	18
A005316	20	2	6	17
A005316	20	6	16	16
A005316	20	11	37	15
A005316	20	27	81	14
A005316	20	52	180	13
A005316	20	119	382	12
A005316	20	239	836	11
A005316	20	531	1769	10
A005316	20	1094	3592	9
A005316	20	2145	5428	8
A005316	20	2664	5494	7
A005316	20	2135	3311	6
A005316	20	895	1254	5
A005316	20	286	392	4
A005316	20	90	125	3
A005316	20	32	40	2
A005316	20	10	12	1
A005316	20	4	3	0
A005316	21	1	3	19
A005316	21	3	7	18
A005316	21	6	20	17
A005316	21	15	42	16
A005316	21	29	100	15
A005316	21	67	207	14
A005316	21	134	468	13
A005316	21	299	974	12
A005316	21	614	2156	11
A005316	21	1348	4522	10
A005316	21	2813	8056	9
A005316	21	4278	10072	8
A005316	21	4579	8323	7
A005316	21	2754	3891	6
A005316	21	895	1254	5
A005316	21	286	392	4
A005316	21	90	125	3
A005316	21	32	40	2
A005316	21	10	12	1
A005316	21	4	3	0
A005316	22	1	2	20
A005316	22	2	6	19
A005316	22	6	16	18
A005316	22	11	37	17
A005316	22	27	81	16
A005316	22	52	180	15
A005316	22	119	382	14
A005316	22	239	836	13
A005316	22	531	1769	12
A005316	22	1094	3844	11
A005316	22	2397	7692	10
A005316	22	4550	12271	9
A005316	22	6195	13497	8
A005316	22	5657	9502	7
A005316	22	2824	3961	6
A005316	22	895	1254	5
A005316	22	286	392	4
A005316	22	90	125	3
A005316	22	32	40	2
A005316	22	10	12	1
A005316	22	4	3	0
A005316	23	1	3	21
A005316	23	3	7	20
A005316	23	6	20	19
A005316	23	15	42	18
A005316	23	29	100	17
A005316	23	67	207	16
A005316	23	134	468	15
A005316	23	299	974	14
A005316	23	614	2156	13
A005316	23	1348	4522	12
A005316	23	2813	9903	11
A005316	23	6125	17472	10
A005316	23	9474	23726	9
A005316	23	11215	21880	8
A005316	23	8059	12055	7
A005316	23	2950	4087	6
A005316	23	895	1254	5
A005316	23	286	392	4
A005316	23	90	125	3
A005316	23	32	40	2
A005316	23	10	12	1
A005316	23	4	3	0
A005316	24	1	2	22
A005316	24	2	6	21
A005316	24	6	16	20
A005316	24	11	37	19
A005316	24	27	81	18
A005316	24	52	180	17
A005316	24	119	382	16
A005316	24	239	836	15
A005316	24	531	1769	14
A005316	24	1094	3844	13
A005316	24	2397	8154	12
A005316	24	5012	16726	11
A005316	24	9978	27264	10
A005316	24	14099	32863	9
A005316	24	14533	26078	8
A005316	24	8647	12573	7
A005316	24	2950	4087	6
A005316	24	895	1254	5
A005316	24	286	392	4
A005316	24	90	125	3
A005316	24	32	40	2
A005316	24	10	12	1
A005316	24	4	3	0
A005316	25	1	3	23
A005316	25	3	7	22
A005316	25	6	20	21
A005316	25	15	42	20
A005316	25	29	100	19
A005316	25	67	207	18
A005316	25	134	468	17
A005316	25	299	974	16
A005316	25	614	2156	15
A005316	25	1348	4522	14
A005316	25	2813	9903	13
A005316	25	6125	20903	12
A005316	25	12905	38631	11
A005316	25	21107	54528	10
A005316	25	26770	56405	9
A005316	25	22496	35729	8
A005316	25	9823	13623	7
A005316	25	2950	4087	6
A005316	25	895	1254	5
A005316	25	286	392	4
A005316	25	90	125	3
A005316	25	32	40	2
A005316	25	10	12	1
A005316	25	4	3	0
A005316	26	1	2	24
A005316	26	2	6	23
A005316	26	6	16	22
A005316	26	11	37	21
A005316	26	27	81	20
A005316	26	52	180	19
A005316	26	119	382	18
A005316	26	239	836	17
A005316	26	531	1769	16
A005316	26	1094	3844	15
A005316	26	2397	8154	14
A005316	26	5012	17650	13
A005316	26	10902	35832	12
A005316	26	21281	60768	11
A005316	26	32006	77851	10
A005316	26	36190	70133	9
A005316	26	25422	38473	8
A005316	26	9823	13623	7
A005316	26	2950	4087	6
A005316	26	895	1254	5
A005316	26	286	392	4
A005316	26	90	125	3
A005316	26	32	40	2
A005316	26	10	12	1
A005316	26	4	3	0
A005316	27	1	3	25
A005316	27	3	7	24
A005316	27	6	20	23
A005316	27	15	42	22
A005316	27	29	100	21
A005316	27	67	207	20
A005316	27	134	468	19
A005316	27	299	974	18
A005316	27	614	2156	17
A005316	27	1348	4522	16
A005316	27	2813	9903	15
A005316	27	6125	20903	14
A005316	27	12905	45494	13
A005316	27	27970	83606	12
A005316	27	46413	125113	11
A005316	27	62958	140580	10
A005316	27	60170	103352	9
A005316	27	31772	44417	8
A005316	27	9823	13623	7
A005316	27	2950	4087	6
A005316	27	895	1254	5
A005316	27	286	392	4
A005316	27	90	125	3
A005316	27	32	40	2
A005316	27	10	12	1
A005316	27	4	3	0
A005316	28	1	2	26
A005316	28	2	6	25
A005316	28	6	16	24
A005316	28	11	37	23
A005316	28	27	81	22
A005316	28	52	180	21
A005316	28	119	382	20
A005316	28	239	836	19
A005316	28	531	1769	18
A005316	28	1094	3844	17
A005316	28	2397	8154	16
A005316	28	5012	17650	15
A005316	28	10902	37548	14
A005316	28	22997	77653	13
A005316	28	46383	133841	12
A005316	28	71743	183064	11
A005316	28	88066	181838	10
A005316	28	71702	115570	9
A005316	28	32360	45005	8
A005316	28	9823	13623	7
A005316	28	2950	4087	6
A005316	28	895	1254	5
A005316	28	286	392	4
A005316	28	90	125	3
A005316	28	32	40	2
A005316	28	10	12	1
A005316	28	4	3	0
A005316	29	1	3	27
A005316	29	3	7	26
A005316	29	6	20	25
A005316	29	15	42	24
A005316	29	29	100	23
A005316	29	67	207	22
A005316	29	134	468	21
A005316	29	299	974	20
A005316	29	614	2156	19
A005316	29	1348	4522	18
A005316	29	2813	9903	17
A005316	29	6125	20903	16
A005316	29	12905	45494	15
A005316	29	27970	96475	14
A005316	29	59282	183418	13
A005316	29	102390	282471	12
A005316	29	145814	344639	11
A005316	29	155152	286404	10
A005316	29	98483	143477	9
A005316	29	33536	46181	8
A005316	29	9823	13623	7
A005316	29	2950	4087	6
A005316	29	895	1254	5
A005316	29	286	392	4
A005316	29	90	125	3
A005316	29	32	40	2
A005316	29	10	12	1
A005316	29	4	3	0
A005316	30	1	2	28
A005316	30	2	6	27
A005316	30	6	16	26
A005316	30	11	37	25
A005316	30	27	81	24
A005316	30	52	180	23
A005316	30	119	382	22
A005316	30	239	836	21
A005316	30	531	1769	20
A005316	30	1094	3844	19
A005316	30	2397	8154	18
A005316	30	5012	17650	17
A005316	30	10902	37548	16
A005316	30	22997	81085	15
A005316	30	49815	166470	14
A005316	30	99224	295535	13
A005316	30	160441	422612	12
A005316	30	210102	462019	11
A005316	30	194029	333177	10
A005316	30	104027	148433	9
A005316	30	33536	46181	8
A005316	30	9823	13623	7
A005316	30	2950	4087	6
A005316	30	895	1254	5
A005316	30	286	392	4
A005316	30	90	125	3
A005316	30	32	40	2
A005316	30	10	12	1
A005316	30	4	3	0
A005316	31	1	3	29
A005316	31	3	7	28
A005316	31	6	20	27
A005316	31	15	42	26
A005316	31	29	100	25
A005316	31	67	207	24
A005316	31	134	468	23
A005316	31	299	974	22
A005316	31	614	2156	21
A005316	31	1348	4522	20
A005316	31	2813	9903	19
A005316	31	6125	20903	18
A005316	31	12905	45494	17
A005316	31	27970	96475	16
A005316	31	59282	209157	15
A005316	31	128129	396395	14
A005316	31	223991	637022	13
A005316	31	334361	825471	12
A005316	31	388695	771569	11
A005316	31	289697	445084	10
A005316	31	115907	159137	9
A005316	31	33536	46181	8
A005316	31	9823	13623	7
A005316	31	2950	4087	6
A005316	31	895	1254	5
A005316	31	286	392	4
A005316	31	90	125	3
A005316	31	32	40	2
A005316	31	10	12	1
A005316	31	4	3	0
A005316	32	1	2	30
A005316	32	2	6	29
A005316	32	6	16	28
A005316	32	11	37	27
A005316	32	27	81	26
A005316	32	52	180	25
A005316	32	119	382	24
A005316	32	239	836	23
A005316	32	531	1769	22
A005316	32	1094	3844	21
A005316	32	2397	8154	20
A005316	32	5012	17650	19
A005316	32	10902	37548	18
A005316	32	22997	81085	17
A005316	32	49815	172905	16
A005316	32	105659	359950	15
A005316	32	215418	647118	14
A005316	32	355948	970381	13
A005316	32	493479	1142431	12
A005316	32	507660	934520	11
A005316	32	320039	473494	10
A005316	32	115907	159137	9
A005316	32	33536	46181	8
A005316	32	9823	13623	7
A005316	32	2950	4087	6
A005316	32	895	1254	5
A005316	32	286	392	4
A005316	32	90	125	3
A005316	32	32	40	2
A005316	32	10	12	1
A005316	32	4	3	0
A005316	33	1	3	31
A005316	33	3	7	30
A005316	33	6	20	29
A005316	33	15	42	28
A005316	33	29	100	27
A005316	33	67	207	26
A005316	33	134	468	25
A005316	33	299	974	24
A005316	33	614	2156	23
A005316	33	1348	4522	22
A005316	33	2813	9903	21
A005316	33	6125	20903	20
A005316	33	12905	45494	19
A005316	33	27970	96475	18
A005316	33	59282	209157	17
A005316	33	128129	445014	16
A005316	33	272610	865071	15
A005316	33	490913	1420971	14
A005316	33	759360	1953451	13
A005316	33	950127	2008683	12
A005316	33	814956	1340353	11
A005316	33	388994	538045	10
A005316	33	115907	159137	9
A005316	33	33536	46181	8
A005316	33	9823	13623	7
A005316	33	2950	4087	6
A005316	33	895	1254	5
A005316	33	286	392	4
A005316	33	90	125	3
A005316	33	32	40	2
A005316	33	10	12	1
A005316	33	4	3	0
A005316	34	1	2	32
A005316	34	2	6	31
A005316	34	6	16	30
A005316	34	11	37	29
A005316	34	27	81	28
A005316	34	52	180	27
A005316	34	119	382	26
A005316	34	239	836	25
A005316	34	531	1769	24
A005316	34	1094	3844	23
A005316	34	2397	8154	22
A005316	34	5012	17650	21
A005316	34	10902	37548	20
A005316	34	22997	81085	19
A005316	34	49815	172905	18
A005316	34	105659	372820	17
A005316	34	228288	772103	16
A005316	34	461628	1419716	15
A005316	34	788178	2200428	14
A005316	34	1144435	2779663	13
A005316	34	1288018	2528086	12
A005316	34	944778	1475275	11
A005316	34	394538	543589	10
A005316	34	115907	159137	9
A005316	34	33536	46181	8
A005316	34	9823	13623	7
A005316	34	2950	4087	6
A005316	34	895	1254	5
A005316	34	286	392	4
A005316	34	90	125	3
A005316	34	32	40	2
A005316	34	10	12	1
A005316	34	4	3	0
A005316	35	1	3	33
A005316	35	3	7	32
A005316	35	6	20	31
A005316	35	15	42	30
A005316	35	29	100	29
A005316	35	67	207	28
A005316	35	134	468	27
A005316	35	299	974	26
A005316	35	614	2156	25
A005316	35	1348	4522	24
A005316	35	2813	9903	23
A005316	35	6125	20903	22
A005316	35	12905	45494	21
A005316	35	27970	96475	20
A005316	35	59282	209157	19
A005316	35	128129	445014	18
A005316	35	272610	962310	17
A005316	35	588152	1867575	16
