oeisID,n,k,buckets,nLess_k,nLess_kHalf,kOdd,nLess_kOdd,expGrowth,maxedOut,oddOdd,x,coefficient,baseFormula,exponent,startCoefficient
A005316,2,1,1,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,1.57,1.556,7.47914459,0,1.556
A005316,3,2,3,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,1.57,0.834,4.008744594,0,0.834
A005316,4,2,4,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.57,1.5803,7.595946141,0,1.5803
A005316,5,3,7,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,1.57,1.8047,8.674557995,0,1.8047
A005316,5,2,9,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,3.14,0.834,19.26862496,0,0.834
A005316,6,3,13,3,2,TRUE,TRUE,FALSE,FALSE,TRUE,3.14,1.556,35.94961683,0,1.556
A005316,7,4,20,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,3.14,0.834,19.26862496,0,0.834
A005316,7,3,23,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,3.14,1.8047,41.69554852,0,1.8047
A005316,8,4,31,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,3.14,1.5803,36.5110408,0,1.5803
A005316,9,5,42,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,3.14,1.8047,41.69554852,0,1.8047
A005316,9,4,61,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,4.71,0.834,92.61750136,0,0.834
A005316,10,5,71,5,3,TRUE,TRUE,FALSE,FALSE,TRUE,4.71,1.556,172.7971608,0,1.556
A005316,10,4,77,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,4.71,1.5803,175.4957283,0,1.5803
A005316,11,6,100,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,4.71,0.834,92.61750136,0,0.834
A005316,11,5,138,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,4.71,1.8047,200.415833,0,1.8047
A005316,12,6,160,6,3,FALSE,FALSE,FALSE,FALSE,FALSE,4.71,1.5803,175.4957283,0,1.5803
A005316,12,5,188,7,4,TRUE,TRUE,FALSE,FALSE,TRUE,6.28,1.556,830.5751609,0,1.556
A005316,13,7,207,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,4.71,1.8047,200.415833,0,1.8047
A005316,13,6,329,7,4,FALSE,TRUE,FALSE,FALSE,FALSE,6.28,0.834,445.1797456,0,0.834
A005316,14,7,347,7,4,TRUE,TRUE,FALSE,FALSE,TRUE,6.28,1.556,830.5751609,0,1.556
A005316,14,6,451,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,6.28,1.5803,843.5462254,0,1.5803
A005316,15,8,468,7,4,FALSE,TRUE,FALSE,FALSE,FALSE,6.28,0.834,445.1797456,0,0.834
A005316,15,7,723,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,6.28,1.8047,963.3284016,0,1.8047
