leafBelow	[ 1  4  0  2  5  8  3  6 10  7 11 12  9]
0	0	1	[ 1  0  0  0  0  0  0  0  0  0  0  0  0]
1	1	4	[ 1  3  0  0  0  0  0  0  0  0  0  0  0]
2	4	5	[ 1  3  1  0  0  0  0  0  0  0  0  0  0]
3	5	8	[ 1  3  1  3  0  0  0  0  0  0  0  0  0]
4	8	10	[ 1  3  1  3  2  0  0  0  0  0  0  0  0]
5	10	11	[ 1  3  1  3  2  1  0  0  0  0  0  0  0]
6	11	12	[ 1  3  1  3  2  1  1  0  0  0  0  0  0]
7	12	9	[ 1  3  1  3  2  1  1  9  0  0  0  0  0]
8	9	7	[ 1  3  1  3  2  1  1  9 10  0  0  0  0]
9	7	6	[ 1  3  1  3  2  1  1  9 10 11  0  0  0]
10	6	3	[ 1  3  1  3  2  1  1  9 10 11  9  0  0]
11	3	2	[ 1  3  1  3  2  1  1  9 10 11  9 11  0]
12	2	0	[ 1  3  1  3  2  1  1  9 10 11  9 11 10]
